id,status,created_date,updated_date,nombre,apellido_pa,apellido_ma,foto,area,estudios,carrera,usuario
1,true,10/23/2023,1/2/2024,Reinhard,Prent,Mae,imagenes/empty.jpg,99,Contabilidad,689,1
2,true,4/21/2023,5/14/2023,Ema,Derick,Abbye,imagenes/empty.jpg,364,Administración,655,1
3,true,1/11/2024,2/27/2023,Analise,Boycey,Gerry,imagenes/empty.jpg,255,Contabilidad,243,1
4,true,1/29/2023,9/13/2023,Warden,Karney,Shelagh,imagenes/empty.jpg,449,Administración,241,1
5,false,5/7/2023,5/19/2023,Rorie,Prince,Vivianne,imagenes/empty.jpg,949,Derecho,897,1
6,false,3/19/2023,11/30/2023,Giselle,Cad,Alayne,imagenes/empty.jpg,625,Contabilidad,893,1
7,false,7/12/2023,1/13/2024,Mose,Regen,Gretel,imagenes/empty.jpg,119,Contabilidad,564,1
8,false,7/2/2023,5/8/2023,Burg,Kin,Carolyne,imagenes/empty.jpg,734,Derecho,627,1
9,true,12/11/2023,10/5/2023,Devonna,Gay,Ambur,imagenes/empty.jpg,594,Administración,844,1
10,false,3/1/2023,4/26/2023,Latashia,Morgen,Joelly,imagenes/empty.jpg,171,Contabilidad,519,1
11,false,8/15/2023,11/12/2023,Prescott,Beale,Laural,imagenes/empty.jpg,157,Administración,762,1
12,false,12/10/2023,12/18/2023,Robinetta,Greggory,Tabbie,imagenes/empty.jpg,976,Derecho,219,1
13,true,12/31/2023,12/22/2023,Rupert,Webster,Eleonora,imagenes/empty.jpg,175,Derecho,417,1
14,true,8/16/2023,4/18/2023,Carma,Sandro,Calypso,imagenes/empty.jpg,433,Contabilidad,667,1
15,false,2/25/2023,11/2/2023,Nisse,Devland,Jacqui,imagenes/empty.jpg,725,Sistemas,69,1
16,true,12/20/2023,8/24/2023,Kordula,Ossie,Bert,imagenes/empty.jpg,47,Sistemas,855,1
17,false,9/9/2023,10/12/2023,Debby,Damien,Sallee,imagenes/empty.jpg,709,Contabilidad,648,1
18,true,9/16/2023,5/29/2023,Emlyn,Hymie,Patricia,imagenes/empty.jpg,549,Sistemas,368,1
19,false,6/15/2023,10/26/2023,Margo,Winnie,Ellyn,imagenes/empty.jpg,724,Sistemas,30,1
20,false,5/16/2023,11/30/2023,Waite,Danie,Jennee,imagenes/empty.jpg,776,Derecho,696,1
21,false,11/4/2023,7/5/2023,Frieda,Worthington,Arlana,imagenes/empty.jpg,64,Contabilidad,621,1
22,false,4/29/2023,1/11/2024,Alfi,Hanan,Chiquita,imagenes/empty.jpg,46,Sistemas,310,1
23,true,6/24/2023,11/28/2023,Rowland,Alessandro,Giulietta,imagenes/empty.jpg,28,Sistemas,983,1
24,true,10/23/2023,9/27/2023,Diane-marie,Penny,Beilul,imagenes/empty.jpg,860,Derecho,793,1
25,true,1/9/2024,1/10/2024,Collete,Uriah,Willyt,imagenes/empty.jpg,313,Contabilidad,543,1
26,false,11/1/2023,1/8/2024,Keriann,Roscoe,Becki,imagenes/empty.jpg,977,Contabilidad,852,1
27,false,3/5/2023,8/6/2023,Simone,Jeremias,Christyna,imagenes/empty.jpg,782,Administración,668,1
28,false,7/30/2023,6/19/2023,Raul,Paco,Gayle,imagenes/empty.jpg,98,Contabilidad,782,1
29,false,5/24/2023,10/31/2023,Charleen,Mead,Sandy,imagenes/empty.jpg,736,Administración,339,1
30,false,10/26/2023,12/17/2023,Lissi,Giusto,Melany,imagenes/empty.jpg,86,Administración,315,1
31,true,6/9/2023,1/25/2023,Julie,Taylor,Alameda,imagenes/empty.jpg,375,Derecho,714,1
32,false,12/3/2023,2/6/2023,Otha,Moe,Jeanette,imagenes/empty.jpg,724,Derecho,246,1
33,true,6/22/2023,8/7/2023,Tracey,Ernest,Berthe,imagenes/empty.jpg,180,Derecho,316,1
34,false,10/4/2023,5/28/2023,Brett,Syman,Cinnamon,imagenes/empty.jpg,558,Derecho,494,1
35,false,12/11/2023,4/12/2023,Mirabella,Rollie,Annabal,imagenes/empty.jpg,689,Contabilidad,754,1
36,false,5/13/2023,3/3/2023,Donnajean,Jeff,Nina,imagenes/empty.jpg,357,Sistemas,20,1
37,true,4/13/2023,12/8/2023,Evita,Mahmoud,Magda,imagenes/empty.jpg,750,Sistemas,851,1
38,true,4/25/2023,8/9/2023,Monty,Mischa,Starlin,imagenes/empty.jpg,456,Derecho,715,1
39,true,9/19/2023,7/16/2023,Archer,Freddy,Glori,imagenes/empty.jpg,120,Sistemas,96,1
40,true,2/18/2023,10/19/2023,Katti,Kendricks,Selena,imagenes/empty.jpg,283,Contabilidad,788,1
41,true,10/29/2023,3/21/2023,Lilia,Gayle,Conny,imagenes/empty.jpg,630,Administración,46,1
42,false,8/29/2023,5/12/2023,Clarissa,Northrop,Roda,imagenes/empty.jpg,342,Sistemas,142,1
43,true,5/5/2023,12/20/2023,Callie,Trev,Cristen,imagenes/empty.jpg,328,Sistemas,491,1
44,false,11/13/2023,7/8/2023,Chickie,Odo,Isis,imagenes/empty.jpg,879,Administración,751,1
45,false,3/14/2023,7/14/2023,Bertine,Wadsworth,Penelopa,imagenes/empty.jpg,985,Derecho,369,1
46,false,7/2/2023,11/22/2023,Mickie,Simeon,Damara,imagenes/empty.jpg,718,Contabilidad,154,1
47,false,6/30/2023,2/6/2023,Dylan,Cori,Gerty,imagenes/empty.jpg,918,Sistemas,785,1
48,true,1/5/2024,1/25/2023,Tudor,Shepard,Bryna,imagenes/empty.jpg,103,Contabilidad,174,1
49,true,7/31/2023,7/26/2023,Laurianne,Otis,Aura,imagenes/empty.jpg,107,Administración,275,1
50,true,11/27/2023,3/21/2023,Bari,Burk,Madelyn,imagenes/empty.jpg,188,Contabilidad,528,1
51,true,5/21/2023,11/1/2023,Sam,Costa,Angelica,imagenes/empty.jpg,49,Derecho,407,1
52,true,9/23/2023,10/28/2023,Jarret,Kipper,Agnes,imagenes/empty.jpg,939,Sistemas,71,1
53,true,4/20/2023,4/22/2023,Rachael,Jon,Elsey,imagenes/empty.jpg,746,Derecho,540,1
54,true,5/8/2023,4/5/2023,Carney,Rudy,Windy,imagenes/empty.jpg,803,Contabilidad,685,1
55,false,9/27/2023,4/7/2023,Humfrey,Mathew,Pia,imagenes/empty.jpg,963,Derecho,574,1
56,true,10/30/2023,2/6/2023,Lauren,Percy,Lyda,imagenes/empty.jpg,177,Contabilidad,297,1
57,false,6/4/2023,3/16/2023,Molly,Delmore,Drucill,imagenes/empty.jpg,165,Derecho,656,1
58,false,3/29/2023,11/1/2023,Kellby,Alfons,Nellie,imagenes/empty.jpg,898,Sistemas,972,1
59,false,2/20/2023,8/14/2023,Vincenz,Teddie,Denna,imagenes/empty.jpg,194,Sistemas,763,1
60,false,7/30/2023,10/9/2023,Prince,Tades,Selena,imagenes/empty.jpg,304,Sistemas,304,1
61,false,3/31/2023,8/27/2023,Billi,Gabriel,Cosette,imagenes/empty.jpg,107,Contabilidad,896,1
62,true,5/6/2023,6/26/2023,Abie,Jefferson,Pattie,imagenes/empty.jpg,36,Administración,849,1
63,false,2/13/2023,5/30/2023,Tess,Giffie,Dennie,imagenes/empty.jpg,224,Derecho,594,1
64,true,12/5/2023,11/11/2023,Dusty,Angie,Andee,imagenes/empty.jpg,715,Contabilidad,915,1
65,false,7/29/2023,5/5/2023,Waylan,Myer,Rebekkah,imagenes/empty.jpg,876,Derecho,735,1
66,false,12/2/2023,1/2/2024,Cyrillus,Abey,Arden,imagenes/empty.jpg,96,Administración,369,1
67,false,11/19/2023,4/24/2023,Janetta,Binky,Sile,imagenes/empty.jpg,891,Administración,6,1
68,true,10/22/2023,5/18/2023,Maxy,Ulrick,Junette,imagenes/empty.jpg,440,Derecho,912,1
69,true,4/14/2023,1/3/2024,Cyndy,Elvin,Leeann,imagenes/empty.jpg,469,Derecho,68,1
70,true,4/27/2023,2/18/2023,Billi,Pail,Nikkie,imagenes/empty.jpg,873,Administración,21,1
71,false,2/13/2023,12/18/2023,Merilyn,Barde,Britney,imagenes/empty.jpg,155,Sistemas,237,1
72,true,4/8/2023,7/20/2023,Adamo,York,Carmita,imagenes/empty.jpg,403,Sistemas,198,1
73,false,2/10/2023,1/17/2023,Padgett,Armstrong,Tricia,imagenes/empty.jpg,955,Administración,856,1
74,false,11/20/2023,8/13/2023,Christel,Bayard,Samantha,imagenes/empty.jpg,571,Contabilidad,916,1
75,true,3/2/2023,5/17/2023,Althea,Joshuah,Ava,imagenes/empty.jpg,449,Contabilidad,552,1
76,true,9/17/2023,3/13/2023,Julietta,Martie,Othilie,imagenes/empty.jpg,495,Contabilidad,868,1
77,false,1/15/2024,1/30/2023,Loy,Virgilio,Shelia,imagenes/empty.jpg,468,Contabilidad,353,1
78,true,10/12/2023,12/9/2023,Elvin,Isaac,Kara,imagenes/empty.jpg,332,Sistemas,693,1
79,true,2/8/2023,10/17/2023,Andree,Iorgo,Tabby,imagenes/empty.jpg,662,Contabilidad,930,1
80,false,3/15/2023,1/7/2024,Burl,Regen,Sonnnie,imagenes/empty.jpg,873,Administración,444,1
81,true,9/27/2023,7/28/2023,Jerrome,Durant,Tommy,imagenes/empty.jpg,918,Administración,280,1
82,true,9/23/2023,11/6/2023,Lisbeth,Dallas,Benni,imagenes/empty.jpg,174,Sistemas,632,1
83,false,4/5/2023,9/19/2023,Barnabe,Alasdair,Laurena,imagenes/empty.jpg,6,Sistemas,694,1
84,false,11/5/2023,6/3/2023,Porter,Nick,Florry,imagenes/empty.jpg,14,Derecho,557,1
